parcel_number,address,latitude,longitude,property_class,historic_district,scraped
16061071180000,,,,210,,true
16074230340000,,,,295,,true
16073080420000,,,,210,,true
16073150320000,,,,295,,true
16074130380000,,,,210,,true
16074230280000,,,,295,,true
16081200140000,,,,278,,true
16073080450000,,,,295,,true
16073240570000,,,,295,,true
16074130390000,,,,210,,true
16061071110000,,,,210,,true
16063000470000,,,,295,,true
16071160240000,,,,210,,true
16073040360000,,,,295,,true
16083010400000,,,,295,,true
16061070570000,,,,210,,true
16074130290000,,,,210,,true
16083010460000,,,,295,,true
16051250120000,,,,278,,true
16061070370000,,,,210,,true
16061070780000,,,,210,,true
16073070230000,,,,210,,true
16073240540000,,,,295,,true
16074050410000,,,,295,,true
16073020260000,,,,295,,true
16074020500000,,,,295,,true
16083010370000,,,,295,,true
16083190360000,,,,295,,true
16063000440000,,,,295,,true
16073080470000,,,,295,,true
16083010330000,,,,295,,true
16063070460000,,,,210,,true
16073240600000,,,,295,,true
16061070990000,,,,210,,true
16061071170000,,,,210,,true
16063070440000,,,,210,,true
16063020450000,,,,278,,true
16063070430000,,,,210,,true
16061200350000,,,,210,,true
16071160250000,,,,295,,true
16061071090000,,,,210,,true
16063040180000,,,,206,,true
16074020360000,,,,295,,true
16073240580000,,,,295,,true
16074050370000,,,,295,,true
16074050400000,,,,295,,true
16061070690000,,,,210,,true
16062180110000,,,,206,,true
16083010430000,,,,295,,true
16061070280000,,,,210,,true
16073070280000,,,,210,,true
16073240380000,,,,295,,true
16073270250000,,,,295,,true
16074130310000,,,,210,,true
16083010320000,,,,295,,true
16063000400000,,,,295,,true
16061070300000,,,,210,,true
16063000380000,,,,295,,true
16063040130000,,,,206,,true
16073070410000,,,,295,,true
16073150310000,,,,210,,true
16061071140000,,,,210,,true
16073220500000,,,,295,,true
16073240530000,,,,295,,true
16073250300000,,,,295,,true
16074130270000,,,,210,,true
16063000430000,,,,295,,true
16061070310000,,,,210,,true
16073150340000,,,,295,,true
16083010420000,,,,295,,true
16073070400000,,,,295,,true
16073240360000,,,,295,,true
16061071200000,,,,210,,true
16074230380000,,,,295,,true
16083190320000,,,,295,,true
16061071150000,,,,210,,true
16073070260000,,,,210,,true
16061070940000,,,,210,,true
16071160220000,,,,210,,true
16073020300000,,,,295,,false
16061200240000,,,,210,,false
16063070400000,,,,210,,false
16073070420000,,,,295,,false
16061140160000,,,,204,,false
16074230370000,,,,295,,false
16063230270000,,,,206,,false
16073150300000,,,,210,,false
16083010310000,,,,295,,false
16073020280000,,,,295,,false
16083010260000,,,,295,,false
16061070650000,,,,210,,false
16061200270000,,,,210,,false
16073040330000,,,,295,,false
16073040370000,,,,295,,false
16083190350000,,,,295,,false
16062100250000,,,,205,,false
16073070220000,,,,210,,false
16074020580000,,,,295,,false
16061070540000,,,,210,,false
16073020310000,,,,295,,false
16073220590000,,,,295,,false
16073240470000,,,,295,,false
16073270260000,,,,295,,false
16073080540000,,,,295,,false
16074050350000,,,,295,,false
16074050320000,,,,295,,false
16074230320000,,,,295,,false
16073070200000,,,,210,,false
16061070970000,,,,210,,false
16063100370000,,,,206,,false
